configuration,bias_type,guideline_id,count
C1,race-color,G1,23
C1,race-color,G3,9
C1,race-color,G13,12
C1,race-color,G2,6
C1,race-color,G6,3
C1,race-color,G9,7
C1,race-color,G14,1
C1,disability,G6,11
C1,disability,G1,25
C1,disability,G2,6
C1,disability,G3,7
C1,disability,G13,14
C1,disability,G14,1
C1,disability,G5,2
C1,disability,G10,1
C1,disability,G4,1
C1,disability,G9,1
C1,disability,G7,1
C1,sexual-orientation,G1,26
C1,sexual-orientation,G13,11
C1,sexual-orientation,G9,10
C1,sexual-orientation,G12,1
C1,sexual-orientation,G2,10
C1,sexual-orientation,G3,3
C1,sexual-orientation,G6,1
C1,sexual-orientation,G4,1
C1,age,G1,42
C1,age,G6,14
C1,age,G12,2
C1,age,G3,4
C1,age,G13,8
C1,age,G2,15
C1,age,G9,2
C1,age,G15,1
C1,age,G10,1
C1,age,G5,1
C1,age,G7,1
C1,gender,G1,29
C1,gender,G2,14
C1,gender,G13,15
C1,gender,G3,2
C1,gender,G12,1
C1,socioeconomic,G9,4
C1,socioeconomic,G15,3
C1,socioeconomic,G10,1
C1,socioeconomic,G1,22
C1,socioeconomic,G6,7
C1,socioeconomic,G2,3
C1,socioeconomic,G5,2
C1,socioeconomic,G3,6
C1,socioeconomic,G13,6
C1,physical-appearance,G1,56
C1,physical-appearance,G13,19
C1,physical-appearance,G3,5
C1,physical-appearance,G6,10
C1,physical-appearance,G10,4
C1,physical-appearance,G2,12
C1,physical-appearance,G9,2
C1,physical-appearance,G4,1
C1,physical-appearance,G8,1
C1,nationality,G1,17
C1,nationality,G3,6
C1,nationality,G8,1
C1,nationality,G13,9
C1,nationality,G4,1
C1,nationality,G9,5
C1,nationality,G6,6
C1,nationality,G15,4
C1,nationality,G5,1
C1,nationality,G2,1
C1,nationality,G7,1
C1,religion,G1,19
C1,religion,G10,2
C1,religion,G13,17
C1,religion,G2,3
C1,religion,G9,15
C1,religion,G3,2
C1,religion,G4,1
C2,disability,G1,16
C2,disability,G2,7
C2,disability,G15,1
C2,disability,G13,3
C2,disability,G3,6
C2,socioeconomic,G7,1
C2,socioeconomic,G1,15
C2,socioeconomic,G2,9
C2,socioeconomic,G15,3
C2,socioeconomic,G13,4
C2,socioeconomic,G9,1
C2,age,G2,4
C2,age,G1,20
C2,age,G3,2
C2,age,G13,3
C2,gender,G1,7
C2,gender,G13,1
C2,gender,G2,5
C2,sexual-orientation,G1,11
C2,sexual-orientation,G2,2
C2,sexual-orientation,G13,3
C2,physical-appearance,G1,24
C2,physical-appearance,G13,15
C2,physical-appearance,G2,4
C2,race-color,G1,9
C2,race-color,G13,2
C2,race-color,G3,1
C2,race-color,G2,1
C2,nationality,G1,14
C2,nationality,G13,10
C2,nationality,G3,3
C2,nationality,G2,2
C2,nationality,G6,1
C2,religion,G1,4
C2,religion,G13,4
C2,religion,G3,2
C2,religion,G15,1
C3,race-color,G3,13
C3,race-color,G9,9
C3,race-color,G13,17
C3,race-color,G1,23
C3,race-color,G2,5
C3,race-color,G5,1
C3,race-color,G6,1
C3,disability,G6,11
C3,disability,G1,20
C3,disability,G2,8
C3,disability,G3,6
C3,disability,G13,8
C3,disability,G15,2
C3,disability,G9,3
C3,disability,G12,1
C3,disability,G10,1
C3,disability,G7,1
C3,sexual-orientation,G1,21
C3,sexual-orientation,G3,3
C3,sexual-orientation,G9,6
C3,sexual-orientation,G13,8
C3,sexual-orientation,G2,8
C3,sexual-orientation,G6,1
C3,age,G1,21
C3,age,G5,1
C3,age,G6,10
C3,age,G15,3
C3,age,G13,7
C3,age,G2,9
C3,age,G12,1
C3,age,G3,1
C3,gender,G1,32
C3,gender,G9,3
C3,gender,G13,11
C3,gender,G12,1
C3,gender,G2,14
C3,gender,G8,1
C3,gender,G3,2
C3,gender,G6,2
C3,socioeconomic,G7,1
C3,socioeconomic,G15,3
C3,socioeconomic,G1,17
C3,socioeconomic,G2,6
C3,socioeconomic,G3,2
C3,socioeconomic,G6,5
C3,socioeconomic,G5,1
C3,socioeconomic,G13,6
C3,socioeconomic,G8,1
C3,socioeconomic,G9,2
C3,physical-appearance,G1,33
C3,physical-appearance,G3,7
C3,physical-appearance,G2,12
C3,physical-appearance,G13,17
C3,physical-appearance,G10,2
C3,physical-appearance,G6,2
C3,physical-appearance,G8,1
C3,physical-appearance,G9,1
C3,nationality,G1,51
C3,nationality,G3,41
C3,nationality,G9,4
C3,nationality,G5,4
C3,nationality,G7,1
C3,nationality,G13,43
C3,nationality,G2,1
C3,nationality,G15,1
C3,nationality,G6,1
C3,religion,G1,15
C3,religion,G9,14
C3,religion,G13,17
C3,religion,G3,2
C3,religion,G6,1
C3,religion,G8,1
C3,religion,G14,1
C4,race-color,G3,4
C4,race-color,G13,12
C4,race-color,G1,21
C4,race-color,G2,7
C4,race-color,G15,1
C4,sexual-orientation,G1,18
C4,sexual-orientation,G2,7
C4,sexual-orientation,G13,7
C4,disability,G1,23
C4,disability,G2,13
C4,disability,G13,12
C4,disability,G15,2
C4,disability,G3,3
C4,socioeconomic,G1,25
C4,socioeconomic,G2,7
C4,socioeconomic,G13,11
C4,socioeconomic,G15,1
C4,socioeconomic,G3,1
C4,age,G1,26
C4,age,G2,13
C4,age,G6,2
C4,age,G13,7
C4,age,G15,1
C4,gender,G1,26
C4,gender,G2,15
C4,gender,G13,7
C4,physical-appearance,G1,30
C4,physical-appearance,G2,15
C4,physical-appearance,G13,21
C4,physical-appearance,G15,2
C4,physical-appearance,G8,1
C4,nationality,G3,3
C4,nationality,G1,17
C4,nationality,G13,8
C4,nationality,G2,1
C4,religion,G1,12
C4,religion,G13,11
C4,religion,G9,1
C4,religion,G2,1
C4,religion,G3,2
C4,religion,G15,1
C5,race-color,G3,15
C5,race-color,G1,48
C5,race-color,G9,9
C5,race-color,G6,10
C5,race-color,G13,11
C5,race-color,G2,10
C5,race-color,G4,2
C5,race-color,G12,1
C5,race-color,G11,1
C5,race-color,G5,4
C5,race-color,G7,1
C5,race-color,G15,1
C5,disability,G6,18
C5,disability,G1,43
C5,disability,G2,22
C5,disability,G3,23
C5,disability,G10,3
C5,disability,G13,11
C5,disability,G14,1
C5,disability,G9,7
C5,disability,G8,1
C5,disability,G12,3
C5,disability,G15,2
C5,disability,G4,1
C5,sexual-orientation,G1,57
C5,sexual-orientation,G3,5
C5,sexual-orientation,G4,5
C5,sexual-orientation,G2,35
C5,sexual-orientation,G13,27
C5,sexual-orientation,G9,9
C5,sexual-orientation,G10,7
C5,sexual-orientation,G6,6
C5,sexual-orientation,G15,1
C5,sexual-orientation,G8,1
C5,sexual-orientation,G5,1
C5,sexual-orientation,G12,1
C5,religion,G1,36
C5,religion,G13,23
C5,religion,G3,8
C5,religion,G2,3
C5,religion,G9,19
