configuration,guideline_id,count
C1,G1,259
C1,G13,111
C1,G2,70
C1,G6,52
C1,G9,46
C1,G3,44
C1,G10,9
C1,G15,8
C1,G5,6
C1,G4,5
C1,G12,4
C1,G7,3
C1,G8,2
C1,G14,2
C2,G1,120
C2,G13,45
C2,G2,34
C2,G3,14
C2,G15,5
C2,G7,1
C2,G9,1
C2,G6,1
C3,G1,233
C3,G13,134
C3,G3,77
C3,G2,63
C3,G9,42
C3,G6,34
C3,G15,9
C3,G5,7
C3,G8,4
C3,G12,3
C3,G7,3
C3,G10,3
C3,G14,1
C4,G1,198
C4,G13,96
C4,G2,79
C4,G3,13
C4,G15,8
C4,G6,2
C4,G9,1
C4,G8,1
C5,G1,695
C5,G2,313
C5,G13,226
C5,G3,148
C5,G6,146
C5,G9,59
C5,G10,55
C5,G4,27
C5,G12,23
C5,G5,21
C5,G15,20
C5,G8,12
C5,G7,9
C5,G14,6
C5,G11,3
C6,G1,239
C6,G13,76
C6,G2,75
C6,G3,27
C6,G15,17
C6,G6,5
C6,G5,3
C6,G10,1
C6,G7,1
C6,G4,1
C7,G1,255
C7,G13,98
C7,G3,93
C7,G2,72
C7,G6,54
C7,G9,49
C7,G15,12
C7,G12,10
C7,G10,8
C7,G5,6
C7,G4,6
C7,G8,5
C7,G14,4
C7,G7,3
C8,G1,181
C8,G13,91
C8,G2,71
C8,G3,12
C8,G6,5
C8,G15,5
C8,G7,2
C8,G14,1
