configuration,num_iterations,num_prompts
C1,1,43
C1,2,164
C1,3,38
C1,4,7
C1,5,4
C1,6,1
C1,7,3
C1,8,1
C1,9,1
C2,1,178
C2,2,75
C2,3,7
C2,4,1
C2,5,1
C3,1,35
C3,2,204
C3,3,19
C3,4,3
C3,40,1
C4,1,97
C4,2,133
C4,3,30
C4,4,1
C4,5,1
C5,1,55
C5,2,84
C5,3,58
C5,4,19
C5,5,13
C5,6,9
C5,7,7
C5,8,4
C5,9,1
C5,11,2
C5,12,2
C5,13,1
C5,18,1
C5,24,2
C5,25,1
C5,27,1
C5,54,1
C5,144,1
C6,1,172
C6,2,49
C6,3,16
C6,4,8
C6,5,6
C6,6,5
C6,7,4
C6,8,1
C6,10,1
C7,1,59
C7,2,144
C7,3,34
C7,4,17
C7,5,3
C7,6,3
C7,7,2
C8,1,83
C8,2,175
C8,3,4
