configuration,total_num_violations,num_prompts
C1,0,43
C1,1,27
C1,2,115
C1,3,30
C1,4,20
C1,5,15
C1,6,2
C1,7,1
C1,8,2
C1,9,1
C1,10,2
C1,12,1
C1,13,1
C1,15,2
C2,0,178
C2,1,5
C2,2,45
C2,3,22
C2,4,8
C2,5,2
C2,8,1
C2,10,1
C3,0,35
C3,1,31
C3,2,141
C3,3,37
C3,4,9
C3,5,6
C3,6,2
C3,111,1
C4,0,97
C4,1,20
C4,2,97
C4,3,23
C4,4,15
C4,5,8
C4,6,1
C4,9,1
C5,0,55
C5,1,14
C5,2,45
C5,3,32
C5,4,27
C5,5,23
C5,6,10
C5,7,8
C5,8,5
C5,9,6
C5,10,6
C5,11,4
C5,12,4
C5,13,2
C5,14,3
C5,15,2
C5,16,1
C5,17,2
C5,18,1
C5,22,1
C5,23,1
C5,24,1
C5,27,1
C5,29,1
C5,32,1
C5,49,1
C5,52,1
C5,61,1
C5,66,1
C5,81,1
C5,346,1
C6,0,172
C6,1,3
C6,2,31
C6,3,13
C6,4,8
C6,5,8
C6,6,6
C6,7,3
C6,8,3
C6,9,2
C6,10,3
C6,11,2
C6,12,3
C6,15,3
C6,16,1
C6,21,1
C7,0,60
C7,1,18
C7,2,67
C7,3,55
C7,4,25
C7,5,12
C7,6,8
C7,7,6
C7,8,2
C7,9,6
C7,11,1
C7,13,1
C7,14,1
C8,0,83
C8,1,25
C8,2,121
C8,3,31
C8,4,2
